Student ID (Assign 1-n? On this page; this id will follow them through the rest of the data),age,gender,race_ethnicity,course_completion,employment_status,individual_income,household_income,work_experience
ENR-7245,30,Male,Black or African American,0.67,I have a part-time job,24500.00,24500.00,4-5 years
ENR-7246,19,Male,Asian,0.69,I am unemployed,0.00,15000.00,Less than 1 year
ENR-7247,29,Female,Hispanic or Latino/Latina/Latinx,0.69,I have a part-time job,40000.00,40000.00,4-5 years
ENR-7248,28,Male,Asian,0.67,I am unemployed,0.00,20000.00,4-5 years
ENR-7251,23,Female,Black or African American,0.68,I have a part-time job,22000.00,50000.00,4-5 years
ENR-7252,44,Female,White,0.71,I am unemployed,0.00,100000.00,Over 10 years
ENR-7253,19,Male,Asian,0.71,I am unemployed,0.00,59000.00,1-3 years
ENR-7257,19,Female,Hispanic or Latino/Latina/Latinx,0.68,I have a part-time job,15000.00,65000.00,1-3 years
ENR-7260,22,Male,Asian,0.68,I have a part-time job,10000.00,10000.00,1-3 years
ENR-7262,23,Female,Hispanic or Latino/Latina/Latinx,0.71,I am unemployed,0.00,45000.00,1-3 years
ENR-7263,26,Male,Asian,0.69,I am unemployed,0.00,6000.00,1-3 years
ENR-7265,45,Female,Hispanic or Latino/Latina/Latinx,0.72,I am unemployed,0.00,20000.00,Over 10 years
ENR-7267,30,Male,Hispanic or Latino/Latina/Latinx,0.73,I have a full-time job,45000.00,45000.00,Over 10 years
ENR-7270,29,Male,Asian,0.71,I have a full-time job,50000.00,50000.00,Over 10 years
ENR-7271,40,Male,Hispanic or Latino/Latina/Latinx,0.70,I am unemployed,0.00,30000.00,Over 10 years
ENR-7272,45,Male,Indigenous American or Alaska Native,0.70,I have a full-time job,80000.00,160000.00,Over 10 years
ENR-7276,24,Male,Black or African American,0.73,I am unemployed,0.00,0.00,1-3 years
ENR-7296,39,Female,Asian,0.69,I have a full-time job,70000.00,70000.00,1-3 years
ENR-7297,23,Female,White,0.71,I have a part-time job,20000.00,20000.00,4-5 years
ENR-7298,29,Male,White,0.71,I have a part-time job,40000.00,45000.00,Over 10 years
ENR-7299,28,Male,Black or African American,0.72,I have a full-time job,30000.00,30000.00,4-5 years
ENR-7300,28,Female,Black or African American,0.72,I have a full-time job,27000.00,27000.00,Over 10 years
ENR-7301,27,Male,I prefer not to answer,0.72,I have a part-time job,25000.00,40000.00,Over 10 years
ENR-7302,48,Female,Hispanic or Latino/Latina/Latinx,0.72,I have a full-time job,42168.00,42168.00,Over 10 years
ENR-7303,33,Male,I prefer not to answer,0.73,I am unemployed,0.00,50000.00,Over 10 years
ENR-7304,32,Female,Black or African American,0.72,I have a part-time job,10000.00,70000.00,Over 10 years
ENR-7305,19,Male,Asian,0.73,I am unemployed,0.00,50000.00,1-3 years
ENR-7306,35,Male,Black or African American,0.72,I am unemployed,0.00,0.00,Over 10 years
ENR-7308,24,Male,Indigenous American or Alaska Native,0.73,I am unemployed,0.00,10000.00,1-3 years
ENR-7310,26,Male,Hispanic or Latino/Latina/Latinx,0.73,I am unemployed,0.00,25000.00,5-9 years
ENR-7314,26,Non-binary,I prefer not to answer,0.73,I have a full-time job,45000.00,90000.00,5-9 years
ENR-7315,33,Male,White,0.73,I have a full-time job,40000.00,40000.00,Over 10 years
ENR-8082,29,Male,White,0.73,I have a part-time job,44000.00,110000.00,Over 10 years
ENR-8083,22,Male,Black or African American,0.73,I have a full-time job,49000.00,49000.00,5-9 years
ENR-8084,36,Female,Hispanic or Latino/Latina/Latinx,0.73,I have a full-time job,52300.00,52300.00,5-9 years
ENR-8087,32,I prefer not to answer,Asian,0.73,I am unemployed,0.00,25000.00,5-9 years
ENR-8088,36,Male,Hispanic or Latino/Latina/Latinx,0.73,I am unemployed,0.00,0.00,Over 10 years
ENR-8091,34,Female,White,0.73,I am unemployed,0.00,110000.00,5-9 years
ENR-8092,28,Male,White,0.74,I am unemployed,0.00,36480.00,5-9 years
